couleur_id,couleur_nom,couleur_code,nombre_pieces
1102,Trans-Neon Red,#FF0040,9
1060,Trans-Green Opal,#84B68D,8
1010,Vintage Red,#CA1F08,8
1009,Vintage Green,#1E601E,8
1066,Curry,#DD982E,8
1067,Dark Nougat,#AD6140,8
1001,Medium Violet,#939E07,8
61,Chrome Blue,#6C96BF,7
-1,[Unknown],#0033B2,7
1084,Two-tone Gold,#AB673A,6
1100,Clikits Yellow,#FFCF0B,6
1074,Duplo Blue,#009ECE,6
1085,Two-tone Silver,#737271,6
76,Speckle DBGray-Silver,#6C6E68,5
133,Speckle Black-Gold,#05131D,4
1095,Trans-Black,#635F52,4
1093,Light Lilac,#9195CA,4
75,Speckle Black-Copper,#05131D,4
1011,Vintage Yellow,#F3C305,4
1008,Vintage Blue,#039CBD,4
1012,Fabuland Orange,#EF9121,3
1076,Duplo Lime,#FFF230,3
68,Very Light Orange,#F3CF9B,3
1097,Glitter Trans-Medium Purple,#8D73B3,3
1083,Two-tone Copper,#945148,2
142,Pearl Light Gold,#DCBC81,2
62,Chrome Green,#3CB371,2
1090,Duplo Turquoise,#3FB69E,2
1080,Light Tan,#F3C988,1
1079,Duplo Light Green,#60BA76,1
1091,Warm Yellowish Orange,#FFCB78,1
1052,Glitter Trans-Orange,#F08F1C,1
1099,Glitter Trans-Pink,#E4ADC8,1
1081,Rust Orange,#872B17,1
1101,Duplo Dark Purple,#5F27AA,1
1075,Duplo Medium Blue,#3E95B6,1
64,Chrome Black,#1B2A34,1
1078,Duplo Medium Green,#468A5F,1
